year,advice,landings,discards,catch
2002,4823,4011,511,4522
2003,4722,4575,1037,5612
2004,4574,4395,635,5029
2005,4468,4429,527,4956
2006,4290,4294,1515,5809
2007,4488,4468,451,4919
2008,3975,4153,898,5051
2009,3394,3405,996,4401
2010,3200,3234,673,3907
2011,4045,4030,1024,5055
2012,4071,4099,2461,6560
2013,3763,3725,5938,9663
2014,3692,3645,1690,5335
2015,3480.09,3480,1636,5116
2016,5655,3834,1167,5000
2017,5655,3315,651,3966
2018,5484,3046,331,3376
2019,5484,3273,605,3878
2020,4279,2653,391,3044
2021,3742,2107,668,2775
2022,3081,1507,454,1961
2023,2960,1473,418,1891
2024,2072,1180,264,1444
2025,1450,,,
